,Unnamed: 0,City,"Violent
crime","Murder and
nonnegligent
manslaughter","Rape
(revised
definition)1","Rape
(legacy
definition)2",Robbery,"Aggravated
assault","Property
crime",Burglary,"Larceny-
theft","Motor
vehicle
theft",Arson,Overall Crime
0,5,Aliso Viejo,25.0,0.0,,2.0,4.0,19.0,315.0,71.0,224.0,20.0,3.0,688.0
1,8,Anaheim,1130.0,11.0,,82.0,437.0,600.0,9611.0,1412.0,6518.0,1681.0,35.0,21525.0
2,44,Brea,64.0,2.0,,4.0,22.0,36.0,1210.0,205.0,939.0,66.0,3.0,2595.0
3,49,Buena Park,221.0,2.0,,13.0,80.0,126.0,2165.0,361.0,1435.0,369.0,2.0,4823.0
4,93,Costa Mesa,252.0,1.0,,46.0,94.0,111.0,3556.0,512.0,2748.0,296.0,13.0,7722.0
5,100,Cypress,50.0,0.0,,4.0,17.0,29.0,934.0,148.0,689.0,97.0,6.0,2074.0
6,102,Dana Point,70.0,0.0,,9.0,10.0,51.0,586.0,133.0,429.0,24.0,0.0,1414.0
7,145,Fountain Valley,92.0,0.0,,9.0,20.0,63.0,1170.0,262.0,835.0,73.0,5.0,2674.0
8,149,Fullerton,372.0,0.0,,29.0,107.0,236.0,3859.0,627.0,2873.0,359.0,27.0,8638.0
9,152,Garden Grove,455.0,5.0,,16.0,137.0,297.0,3397.0,637.0,2221.0,539.0,29.0,7885.0
10,180,Huntington Beach,362.0,2.0,,31.0,100.0,229.0,4934.0,793.0,3796.0,345.0,25.0,10797.0
11,190,Irvine,113.0,2.0,,12.0,38.0,61.0,3285.0,583.0,2553.0,149.0,10.0,6996.0
12,201,Laguna Beach,41.0,0.0,,3.0,5.0,33.0,469.0,87.0,356.0,26.0,5.0,1226.0
13,202,Laguna Hills,53.0,0.0,,3.0,12.0,38.0,508.0,75.0,390.0,43.0,1.0,1325.0
14,203,Laguna Niguel,57.0,0.0,,4.0,13.0,40.0,624.0,95.0,500.0,29.0,1.0,1566.0
15,204,Laguna Woods,5.0,0.0,,2.0,1.0,2.0,132.0,22.0,100.0,10.0,2.0,480.0
16,205,La Habra,88.0,0.0,,8.0,33.0,47.0,1155.0,185.0,856.0,114.0,0.0,2691.0
17,208,Lake Forest,105.0,2.0,,12.0,23.0,68.0,813.0,150.0,620.0,43.0,1.0,2045.0
18,215,La Palma,10.0,0.0,,0.0,8.0,2.0,326.0,80.0,221.0,25.0,3.0,890.0
19,231,Los Alamitos,24.0,0.0,,2.0,11.0,11.0,360.0,108.0,213.0,39.0,0.0,999.0
20,254,Mission Viejo,62.0,0.0,,4.0,22.0,36.0,998.0,156.0,802.0,40.0,4.0,2378.0
21,277,Newport Beach,73.0,2.0,,7.0,13.0,51.0,2158.0,454.0,1600.0,104.0,11.0,4750.0
22,287,Orange,147.0,4.0,,8.0,64.0,71.0,2418.0,473.0,1673.0,272.0,15.0,5432.0
23,313,Placentia,66.0,2.0,,6.0,16.0,42.0,784.0,173.0,531.0,80.0,1.0,2014.0
24,325,Rancho Santa Margarita,17.0,0.0,,3.0,6.0,8.0,290.0,77.0,200.0,13.0,1.0,940.0
25,351,San Clemente,56.0,0.0,,3.0,21.0,32.0,844.0,209.0,582.0,53.0,2.0,2153.0
26,361,San Juan Capistrano,57.0,0.0,,0.0,13.0,44.0,439.0,115.0,302.0,22.0,2.0,1355.0
27,370,Santa Ana,1121.0,13.0,,51.0,463.0,594.0,6425.0,803.0,4163.0,1459.0,33.0,15495.0
28,384,Seal Beach,16.0,0.0,,1.0,8.0,7.0,462.0,93.0,336.0,33.0,1.0,1341.0
29,403,Stanton,112.0,1.0,,8.0,45.0,58.0,702.0,137.0,409.0,156.0,3.0,2034.0
30,422,Tustin,100.0,1.0,,6.0,36.0,57.0,1473.0,213.0,1147.0,113.0,5.0,3573.0
31,432,Villa Park,6.0,0.0,,0.0,0.0,6.0,86.0,30.0,56.0,0.0,3.0,619.0
32,443,Westminster,283.0,0.0,,13.0,84.0,186.0,2476.0,420.0,1720.0,336.0,8.0,5969.0
33,456,Yorba Linda,30.0,0.0,,5.0,6.0,19.0,700.0,172.0,482.0,46.0,1.0,1917.0
