,Unnamed: 0,City,"Violent
crime","Murder and
nonnegligent
manslaughter","Rape
(revised
definition1)","Rape
(legacy
definition2)",Robbery,"Aggravated
assault","Property
crime",Burglary,"Larceny-
theft","Motor
vehicle
theft",Arson,Overall Crime
0,5,Aliso Viejo,29.0,0.0,4.0,,5.0,20.0,411.0,61.0,323.0,27.0,0.0,885.0
1,8,Anaheim,1209.0,7.0,123.0,,390.0,689.0,9617.0,1469.0,6764.0,1384.0,33.0,21693.0
2,45,Brea,92.0,0.0,6.0,,29.0,57.0,1431.0,188.0,1169.0,74.0,6.0,3097.0
3,50,Buena Park,249.0,1.0,16.0,,78.0,154.0,2588.0,322.0,1891.0,375.0,9.0,5733.0
4,93,Costa Mesa,412.0,1.0,60.0,,145.0,206.0,4610.0,735.0,3296.0,579.0,29.0,10166.0
5,100,Cypress,62.0,1.0,6.0,,22.0,33.0,782.0,148.0,525.0,109.0,3.0,1791.0
6,102,Dana Point,64.0,0.0,11.0,,17.0,36.0,559.0,121.0,400.0,38.0,0.0,1348.0
7,145,Fountain Valley,63.0,0.0,0.0,,21.0,42.0,1443.0,246.0,1072.0,125.0,3.0,3160.0
8,149,Fullerton,341.0,5.0,55.0,,94.0,187.0,3599.0,456.0,2740.0,403.0,14.0,8043.0
9,152,Garden Grove,545.0,4.0,38.0,,186.0,317.0,4322.0,861.0,2789.0,672.0,9.0,9895.0
10,180,Huntington Beach,362.0,2.0,55.0,,76.0,229.0,4527.0,650.0,3466.0,411.0,20.0,9978.0
11,190,Irvine,152.0,3.0,41.0,,52.0,56.0,3737.0,640.0,2918.0,179.0,9.0,7977.0
12,201,Laguna Beach,116.0,0.0,15.0,,17.0,84.0,646.0,134.0,452.0,60.0,6.0,1731.0
13,202,Laguna Hills,34.0,0.0,5.0,,9.0,20.0,536.0,107.0,381.0,48.0,0.0,1342.0
14,203,Laguna Niguel,65.0,0.0,9.0,,22.0,34.0,751.0,124.0,567.0,60.0,2.0,1837.0
15,204,Laguna Woods,12.0,0.0,4.0,,2.0,6.0,169.0,21.0,139.0,9.0,0.0,566.0
16,205,La Habra,102.0,1.0,8.0,,35.0,58.0,1352.0,237.0,955.0,160.0,2.0,3115.0
17,208,Lake Forest,105.0,0.0,17.0,,13.0,75.0,746.0,135.0,533.0,78.0,7.0,1917.0
18,215,La Palma,37.0,0.0,1.0,,10.0,26.0,369.0,141.0,196.0,32.0,1.0,1028.0
19,230,Los Alamitos,13.0,0.0,2.0,,4.0,7.0,219.0,73.0,129.0,17.0,0.0,694.0
20,253,Mission Viejo,75.0,0.0,7.0,,25.0,43.0,983.0,160.0,768.0,55.0,14.0,2383.0
21,276,Newport Beach,110.0,1.0,34.0,,17.0,58.0,2241.0,437.0,1644.0,160.0,4.0,4982.0
22,286,Orange,228.0,1.0,25.0,,57.0,145.0,2608.0,464.0,1783.0,361.0,9.0,5967.0
23,312,Placentia,77.0,1.0,2.0,,23.0,51.0,790.0,203.0,505.0,82.0,3.0,2049.0
24,324,Rancho Santa Margarita,48.0,0.0,2.0,,10.0,36.0,267.0,45.0,206.0,16.0,2.0,956.0
25,350,San Clemente,75.0,0.0,10.0,,21.0,44.0,799.0,184.0,547.0,68.0,4.0,2102.0
26,360,San Juan Capistrano,87.0,1.0,9.0,,15.0,62.0,436.0,108.0,275.0,53.0,7.0,1413.0
27,369,Santa Ana,1612.0,23.0,142.0,,511.0,936.0,6980.0,1119.0,3913.0,1948.0,42.0,17595.0
28,383,Seal Beach,28.0,1.0,1.0,,4.0,22.0,546.0,80.0,425.0,41.0,1.0,1532.0
29,402,Stanton,131.0,0.0,14.0,,56.0,61.0,734.0,120.0,469.0,145.0,6.0,2138.0
30,421,Tustin,120.0,2.0,13.0,,34.0,71.0,1806.0,229.0,1412.0,165.0,0.0,4273.0
31,431,Villa Park,4.0,0.0,1.0,,1.0,2.0,82.0,22.0,57.0,3.0,0.0,603.0
32,442,Westminster,309.0,2.0,31.0,,96.0,180.0,2720.0,529.0,1854.0,337.0,7.0,6507.0
33,455,Yorba Linda,41.0,0.0,11.0,,6.0,24.0,725.0,150.0,514.0,61.0,0.0,1987.0
